<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	00:00:00	1.05669	1.05700	1.05279	1.05304	15597	0	2
2024.12.02	04:00:00	1.05304	1.05320	1.05152	1.05219	12184	0	2
2024.12.02	08:00:00	1.05218	1.05371	1.04959	1.05136	32311	0	2
2024.12.02	12:00:00	1.05136	1.05384	1.04949	1.05056	29491	0	2
2024.12.02	16:00:00	1.05055	1.05147	1.04606	1.04876	42972	0	2
2024.12.02	20:00:00	1.04877	1.05161	1.04846	1.04977	16655	0	2
2024.12.03	00:00:00	1.04972	1.05015	1.04841	1.04878	11583	0	2
2024.12.03	04:00:00	1.04878	1.04945	1.04806	1.04914	12428	0	2
2024.12.03	08:00:00	1.04915	1.05308	1.04833	1.05204	26025	0	2
2024.12.03	12:00:00	1.05204	1.05298	1.05062	1.05239	23320	0	2
2024.12.03	16:00:00	1.05240	1.05303	1.04920	1.05284	35768	0	2
2024.12.03	20:00:00	1.05281	1.05350	1.05027	1.05093	12646	0	2
2024.12.04	00:00:00	1.05052	1.05125	1.04971	1.05059	9873	0	2
2024.12.04	04:00:00	1.05060	1.05203	1.04879	1.05150	14393	0	2
2024.12.04	08:00:00	1.05150	1.05291	1.04825	1.05029	24899	0	2
2024.12.04	12:00:00	1.05029	1.05125	1.04792	1.04834	26562	0	2
2024.12.04	16:00:00	1.04835	1.05441	1.04722	1.05373	42504	0	2
2024.12.04	20:00:00	1.05373	1.05389	1.05048	1.05083	18019	0	2
2024.12.05	00:00:00	1.05084	1.05159	1.05073	1.05123	9060	0	2
2024.12.05	04:00:00	1.05123	1.05289	1.05105	1.05266	9699	0	2
2024.12.05	08:00:00	1.05266	1.05464	1.05213	1.05286	19351	0	2
2024.12.05	12:00:00	1.05286	1.05683	1.05234	1.05670	27362	0	2
2024.12.05	16:00:00	1.05670	1.05897	1.05508	1.05676	33452	0	2
2024.12.05	20:00:00	1.05676	1.05886	1.05568	1.05867	12590	0	2
2024.12.06	00:00:00	1.05870	1.05880	1.05659	1.05685	9158	0	2
2024.12.06	04:00:00	1.05686	1.05803	1.05683	1.05722	10604	0	2
2024.12.06	08:00:00	1.05722	1.05941	1.05675	1.05772	18449	0	2
2024.12.06	12:00:00	1.05773	1.06298	1.05714	1.06043	32728	0	2
2024.12.06	16:00:00	1.06044	1.06071	1.05440	1.05511	41476	0	2
2024.12.06	20:00:00	1.05511	1.05682	1.05423	1.05669	9915	0	2
2024.12.09	00:00:00	1.05570	1.05694	1.05510	1.05519	8616	0	2
2024.12.09	04:00:00	1.05519	1.05564	1.05321	1.05372	10580	0	2
2024.12.09	08:00:00	1.05372	1.05753	1.05364	1.05662	25653	0	2
2024.12.09	12:00:00	1.05662	1.05854	1.05578	1.05761	21719	0	2
2024.12.09	16:00:00	1.05761	1.05943	1.05666	1.05668	23661	0	2
2024.12.09	20:00:00	1.05668	1.05676	1.05471	1.05530	8837	0	2
2024.12.10	00:00:00	1.05536	1.05572	1.05451	1.05530	7612	0	2
2024.12.10	04:00:00	1.05530	1.05626	1.05488	1.05621	11958	0	2
2024.12.10	08:00:00	1.05621	1.05682	1.05230	1.05311	18014	0	2
2024.12.10	12:00:00	1.05311	1.05380	1.05157	1.05228	19545	0	2
2024.12.10	16:00:00	1.05228	1.05312	1.04984	1.05097	25114	0	2
2024.12.10	20:00:00	1.05097	1.05312	1.05086	1.05265	9573	0	2
2024.12.11	00:00:00	1.05268	1.05357	1.05260	1.05346	5434	0	2
2024.12.11	04:00:00	1.05347	1.05393	1.05204	1.05240	7252	0	2
2024.12.11	08:00:00	1.05241	1.05284	1.04880	1.05005	24911	0	2
2024.12.11	12:00:00	1.05004	1.05373	1.04870	1.05241	31166	0	2
2024.12.11	16:00:00	1.05241	1.05291	1.04801	1.04877	35992	0	2
2024.12.11	20:00:00	1.04876	1.05001	1.04815	1.04955	13201	0	2
2024.12.12	00:00:00	1.04929	1.05088	1.04905	1.05061	7086	0	2
2024.12.12	04:00:00	1.05061	1.05094	1.05008	1.05064	6609	0	2
2024.12.12	08:00:00	1.05065	1.05309	1.05043	1.05100	21297	0	2
2024.12.12	12:00:00	1.05100	1.05143	1.04694	1.04847	31957	0	2
2024.12.12	16:00:00	1.04847	1.05211	1.04636	1.05007	44937	0	2
2024.12.12	20:00:00	1.05007	1.05023	1.04642	1.04672	13132	0	2
2024.12.13	00:00:00	1.04678	1.04808	1.04633	1.04652	8758	0	2
2024.12.13	04:00:00	1.04651	1.04667	1.04562	1.04652	7796	0	2
2024.12.13	08:00:00	1.04653	1.04940	1.04529	1.04872	20068	0	2
2024.12.13	12:00:00	1.04873	1.05242	1.04833	1.05103	25327	0	2
2024.12.13	16:00:00	1.05103	1.05104	1.04822	1.04962	24495	0	2
2024.12.13	20:00:00	1.04963	1.05042	1.04891	1.05035	10145	0	2
2024.12.16	00:00:00	1.04857	1.05213	1.04839	1.05188	8635	0	2
2024.12.16	04:00:00	1.05190	1.05230	1.05097	1.05196	6914	0	2
2024.12.16	08:00:00	1.05194	1.05246	1.05000	1.05051	20941	0	2
2024.12.16	12:00:00	1.05051	1.05082	1.04832	1.05074	16789	0	2
2024.12.16	16:00:00	1.05074	1.05206	1.04744	1.05111	26177	0	2
2024.12.16	20:00:00	1.05112	1.05225	1.05058	1.05143	8745	0	2
2024.12.17	00:00:00	1.05112	1.05343	1.05077	1.05214	7046	0	2
2024.12.17	04:00:00	1.05214	1.05269	1.05025	1.05047	6821	0	2
2024.12.17	08:00:00	1.05046	1.05092	1.04804	1.04854	19620	0	2
2024.12.17	12:00:00	1.04855	1.05066	1.04791	1.05048	22422	0	2
2024.12.17	16:00:00	1.05048	1.05159	1.04944	1.04997	27092	0	2
