<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	00:00:00	1.05669	1.05673	1.05643	1.05657	73	0	34
2024.12.02	00:15:00	1.05657	1.05681	1.05651	1.05651	158	0	23
2024.12.02	00:30:00	1.05652	1.05700	1.05652	1.05674	452	0	19
2024.12.02	00:45:00	1.05673	1.05674	1.05610	1.05626	825	0	19
2024.12.02	01:00:00	1.05626	1.05672	1.05467	1.05489	1601	0	2
2024.12.02	01:15:00	1.05488	1.05516	1.05335	1.05341	1306	0	2
2024.12.02	01:30:00	1.05341	1.05460	1.05337	1.05448	1053	0	2
2024.12.02	01:45:00	1.05447	1.05461	1.05414	1.05440	737	0	2
2024.12.02	02:00:00	1.05440	1.05463	1.05332	1.05395	1011	0	2
2024.12.02	02:15:00	1.05395	1.05416	1.05376	1.05409	1130	0	2
2024.12.02	02:30:00	1.05410	1.05432	1.05313	1.05334	1213	0	2
2024.12.02	02:45:00	1.05334	1.05376	1.05316	1.05362	1090	0	2
2024.12.02	03:00:00	1.05361	1.05391	1.05310	1.05310	1594	0	2
2024.12.02	03:15:00	1.05310	1.05331	1.05279	1.05301	1094	0	2
2024.12.02	03:30:00	1.05301	1.05353	1.05300	1.05349	1139	0	2
2024.12.02	03:45:00	1.05349	1.05358	1.05291	1.05304	1121	0	2
2024.12.02	04:00:00	1.05304	1.05320	1.05248	1.05250	1127	0	2
2024.12.02	04:15:00	1.05250	1.05260	1.05199	1.05241	1264	0	2
2024.12.02	04:30:00	1.05243	1.05281	1.05238	1.05248	779	0	2
2024.12.02	04:45:00	1.05249	1.05269	1.05242	1.05253	881	0	2
2024.12.02	05:00:00	1.05254	1.05269	1.05225	1.05237	836	0	2
2024.12.02	05:15:00	1.05238	1.05256	1.05200	1.05232	748	0	2
2024.12.02	05:30:00	1.05232	1.05263	1.05230	1.05233	808	0	2
2024.12.02	05:45:00	1.05233	1.05261	1.05214	1.05234	584	0	2
2024.12.02	06:00:00	1.05233	1.05248	1.05218	1.05242	582	0	2
2024.12.02	06:15:00	1.05242	1.05291	1.05226	1.05271	502	0	2
2024.12.02	06:30:00	1.05271	1.05285	1.05228	1.05230	503	0	2
2024.12.02	06:45:00	1.05229	1.05240	1.05189	1.05233	565	0	2
2024.12.02	07:00:00	1.05233	1.05242	1.05218	1.05228	678	0	2
2024.12.02	07:15:00	1.05227	1.05227	1.05152	1.05221	762	0	2
2024.12.02	07:30:00	1.05221	1.05267	1.05208	1.05262	705	0	2
2024.12.02	07:45:00	1.05262	1.05283	1.05214	1.05219	860	0	2
2024.12.02	08:00:00	1.05218	1.05278	1.05213	1.05261	1161	0	2
2024.12.02	08:15:00	1.05262	1.05269	1.05228	1.05255	901	0	2
2024.12.02	08:30:00	1.05255	1.05334	1.05234	1.05315	1150	0	2
2024.12.02	08:45:00	1.05315	1.05363	1.05289	1.05328	1421	0	2
2024.12.02	09:00:00	1.05328	1.05371	1.05155	1.05174	2525	0	2
2024.12.02	09:15:00	1.05174	1.05230	1.05068	1.05200	2106	0	2
2024.12.02	09:30:00	1.05200	1.05200	1.05057	1.05059	2600	0	2
2024.12.02	09:45:00	1.05060	1.05112	1.05018	1.05027	2462	0	2
2024.12.02	10:00:00	1.05028	1.05125	1.04959	1.05079	3058	0	2
2024.12.02	10:15:00	1.05079	1.05106	1.04973	1.05059	2203	0	2
2024.12.02	10:30:00	1.05058	1.05066	1.04967	1.05048	2673	0	2
2024.12.02	10:45:00	1.05049	1.05051	1.04972	1.05021	2585	0	2
2024.12.02	11:00:00	1.05022	1.05184	1.05021	1.05139	2470	0	2
2024.12.02	11:15:00	1.05140	1.05163	1.05091	1.05126	2016	0	2
2024.12.02	11:30:00	1.05125	1.05175	1.05108	1.05119	1523	0	2
2024.12.02	11:45:00	1.05118	1.05192	1.05082	1.05136	1457	0	2
2024.12.02	12:00:00	1.05136	1.05181	1.05060	1.05088	1906	0	2
2024.12.02	12:15:00	1.05088	1.05192	1.05064	1.05140	2372	0	2
2024.12.02	12:30:00	1.05139	1.05166	1.05084	1.05131	1546	0	2
2024.12.02	12:45:00	1.05131	1.05238	1.05130	1.05217	1732	0	2
2024.12.02	13:00:00	1.05216	1.05270	1.05200	1.05236	1451	0	2
2024.12.02	13:15:00	1.05235	1.05276	1.05215	1.05266	1247	0	2
2024.12.02	13:30:00	1.05265	1.05286	1.05246	1.05251	1269	0	2
2024.12.02	13:45:00	1.05250	1.05265	1.05204	1.05230	1085	0	2
2024.12.02	14:00:00	1.05230	1.05384	1.05171	1.05330	1913	0	2
2024.12.02	14:15:00	1.05330	1.05333	1.05187	1.05195	1774	0	2
2024.12.02	14:30:00	1.05195	1.05224	1.05099	1.05145	1994	0	2
2024.12.02	14:45:00	1.05145	1.05165	1.04949	1.05009	2259	0	2
2024.12.02	15:00:00	1.05009	1.05098	1.05006	1.05089	2140	0	2
2024.12.02	15:15:00	1.05089	1.05143	1.05065	1.05098	1771	0	2
2024.12.02	15:30:00	1.05099	1.05103	1.04995	1.05013	2026	0	2
2024.12.02	15:45:00	1.05009	1.05106	1.04960	1.05056	3006	0	2
2024.12.02	16:00:00	1.05055	1.05147	1.05020	1.05083	2235	0	2
2024.12.02	16:15:00	1.05084	1.05090	1.04906	1.04938	2334	0	2
2024.12.02	16:30:00	1.04938	1.04955	1.04804	1.04843	2878	0	2
2024.12.02	16:45:00	1.04843	1.04843	1.04724	1.04732	3202	0	2
2024.12.02	17:00:00	1.04688	1.04807	1.04620	1.04679	4642	0	2
2024.12.02	17:15:00	1.04679	1.04792	1.04665	1.04668	3597	0	2
2024.12.02	17:30:00	1.04667	1.04738	1.04647	1.04712	2930	0	2
2024.12.02	17:45:00	1.04711	1.04716	1.04620	1.04691	3247	0	2
2024.12.02	18:00:00	1.04691	1.04747	1.04606	1.04716	2649	0	2
2024.12.02	18:15:00	1.04715	1.04978	1.04706	1.04912	3898	0	2
2024.12.02	18:30:00	1.04913	1.04913	1.04802	1.04848	3161	0	2
2024.12.02	18:45:00	1.04849	1.04891	1.04800	1.04835	2086	0	2
2024.12.02	19:00:00	1.04835	1.04926	1.04801	1.04922	1785	0	2
