result,pnl,exit_time,entry_time,entry_price,sl,tp
win,0.0032399999999999096,2024-12-06 15:30:00,2024-12-06 09:45:00,1.05837,1.05675,1.06161
loss,-0.0040199999999999125,2024-12-06 16:00:00,2024-12-06 15:30:00,1.06169,1.05767,1.0697299999999998
loss,-0.0021199999999998997,2024-12-09 05:45:00,2024-12-06 22:30:00,1.05635,1.05423,1.0605899999999997
win,0.0012199999999999989,2024-12-09 09:15:00,2024-12-09 08:15:00,1.05397,1.05336,1.05519
loss,-0.0033400000000001207,2024-12-09 21:15:00,2024-12-09 17:45:00,1.05912,1.05578,1.0658000000000003
loss,-0.0005500000000000504,2024-12-10 02:00:00,2024-12-10 01:00:00,1.05552,1.05497,1.0566200000000001
loss,-0.0013300000000000534,2024-12-10 09:45:00,2024-12-10 07:45:00,1.05621,1.05488,1.0588700000000002
loss,0.0009600000000000719,2024-12-12 16:00:00,2024-12-12 15:45:00,1.04847,1.04943,1.0465499999999999
loss,0.00014999999999987246,2024-12-24 04:30:00,2024-12-24 04:15:00,1.04031,1.04046,1.0400100000000003
loss,0.00038999999999989043,2025-01-14 15:00:00,2025-01-14 14:45:00,1.02479,1.02518,1.0240100000000003
loss,0.00012999999999996348,2025-01-15 08:45:00,2025-01-15 08:30:00,1.02969,1.02982,1.02943
win,0.0033599999999998076,2025-01-21 16:15:00,2025-01-21 15:00:00,1.03596,1.03428,1.0393199999999998
loss,-0.0013199999999999878,2025-01-22 08:15:00,2025-01-22 06:15:00,1.04192,1.0406,1.04456
win,0.0030000000000001137,2025-01-22 12:15:00,2025-01-22 10:45:00,1.0423,1.0408,1.0453000000000001
loss,-0.0010399999999999299,2025-01-22 22:45:00,2025-01-22 22:00:00,1.04222,1.04118,1.0442999999999998
loss,-0.0009300000000000974,2025-01-23 03:45:00,2025-01-23 03:00:00,1.04146,1.04053,1.0433200000000002
loss,-0.0014600000000000168,2025-01-23 17:15:00,2025-01-23 11:15:00,1.04047,1.03901,1.04339
loss,-0.0007199999999998319,2025-01-24 03:30:00,2025-01-24 02:00:00,1.04198,1.04126,1.0434199999999996
